,Company,Count of Jobs in that company,Category
1190,Dacha Navy Yard,5217,Translator
1191,Hired,2641,Translator
1192,EY,2287,Translator
1193,Unilever,6,Transportation planner
1194,AECOM,5,Transportation planner
1195,Chewy,5,Transportation planner
1196,Kimley-Horn,5,Transportation planner
1197,Cardinal Health,2,Transportation planner
1198,TTEC,264,Travel agent
1199,Deloitte,66,Travel agent
1200,Aerotek,36,Travel agent
1201,Best Buy,34,Travel agent
1202,American Express Global Business Travel,11,Travel agent
1203,Hired,2641,UX designer
1204,Oracle,1947,UX designer
1205,Facebook,490,UX designer
1206,Amazon Corporate LLC,444,UX designer
1207,EY,296,UX designer
1208,Oracle,169,Validation engineer
1209,Intel,132,Validation engineer
1210,General Motors,63,Validation engineer
1211,Thermo Fisher Scientific,61,Validation engineer
1212,Merck,59,Validation engineer
1213,University of Pennsylvania,11,Veterinary nurse
1214,Covance,8,Veterinary nurse
1215,University of Minnesota,7,Veterinary nurse
1216,PetVet Care Centers,3,Veterinary nurse
1217,Boston University,1,Veterinary nurse
1218,PetVet Care Centers,17,Veterinary surgeon
1219,Colorado State University,2,Veterinary surgeon
1220,Johnson & Johnson,1,Veterinary surgeon
1221,Bristol Myers Squibb,1,Veterinary surgeon
1222,Medtronic,1,Veterinary surgeon
1223,NVIDIA,12,Video game designer
1224,Kforce Technology Staffing,2,Video game designer
1225,Randstad,1,Video game designer
1226,Apex Systems,1,Video game designer
1227,Grayson College,1,Video game designer
1228,Veterans Prime,112,Video game developer
1229,CyberCoders,5,Video game developer
1230,Amazon Corporate LLC,4,Video game developer
1231,Intuitive,3,Video game developer
1232,Microsoft,2,Video game developer
1233,Washington State University,1,Waste management officer
1234,Randstad,1,Waste management officer
1235,Dacha Navy Yard,1759,Water engineer
1236,U.S. Navy,260,Water engineer
1237,AECOM,91,Water engineer
1238,Jacobs,42,Water engineer
1239,Aerotek,20,Water engineer
1240,Oracle,432,Web designer
1241,Guidehouse,246,Web designer
1242,EY,213,Web designer
1243,Travelers,187,Web designer
1244,Robert Half,162,Web designer
1245,Hired,10729,Web developer
1246,Oracle,4134,Web developer
1247,Revature,1944,Web developer
1248,Deloitte,886,Web developer
1249,Travelers,764,Web developer
1250,BetterHelp,20282,Writer
1251,Robert Half,3698,Writer
1252,Facebook,2189,Writer
1253,Oracle,2146,Writer
1254,Revature,1783,Writer
1255,Southwest Key Programs,147,Youth worker
1256,State of Florida,13,Youth worker
1257,Samaritas,9,Youth worker
1258,Child and Family Support Services,7,Youth worker
1259,SOSi,4,Youth worker
